drug_name,rxcui,tty
(177lu-dotaotyr3)octreotate,1999335,PIN
(18f)dcfpyl,2556616,PIN
(68ga)psma-hbed-cc,2586016,PIN
(s)-nicotine,7407,IN
".alpha.-pinene, (+)-",2362183,PIN
.gamma.-tocopherol,2368126,IN
1-methyl-2-pyrrolidinone,1305552,IN
1-octanol,1487826,IN
11c-choline,1425419,PIN
129xe,2626219,PIN
13 cis retinoic acid,6064,IN
13-cis retinoic acid,6064,IN
13-cis-retinoic acid,6064,IN
131i,91535,PIN
17 alpha-hydroxyprogesterone caproate,12488,PIN
17 hydroxyprogesterone capronate,12488,PIN
17-alpha hydroxyprogesterone caproate,12488,PIN
17-alpha-hydroxyprogesterone,12488,IN
17-alpha-hydroxyprogesterone / estradiol,4083,MIN
17-beta estradiol,4083,IN
177lu-dota-tate,1999335,PIN
177lu-dota-tyr3-octreotate,1999335,PIN
177lu-dota0-tyr3-octreotate,1999335,PIN
177lu-dotatate,1999335,PIN
177lu-psma-617,2597053,PIN
17beta-estradiol,4083,IN
18-f fdg,1362737,IN
18f-dcfpyl,2556616,PIN
18f-dopa,2571853,PIN
18f-fdg,1362737,IN
18f-fluciclovine,1796118,PIN
18f-rhpsma-7.3,2637946,PIN
2'-fucosyllactose,1733688,IN
2-cda,44157,IN
2-chlorodeoxyadenosine,44157,IN
2-deoxy-d-glucose,1733674,IN
2-deoxyglucose,1733674,IN
2-octyl cyanoacrylate,2533837,IN
2-phenylpropanal propylene glycol acetal,34693,PIN
"24-homo-1,25-dihydroxyvitamin d3",1894,PIN
2cda,44157,IN
"3,3'-diindolylmethane",1603521,IN
3-iodobenzylguanidine,14448,IN
3-n-butylphthalide,1484499,IN
3tc,68244,IN
4-aminobenzoate / salicylic acid,9525,MIN
4-aminobenzoic acid / arginine,1091,MIN
4-aminobenzoic acid / methoxsalen,6854,MIN
4-aminobenzoic acid / salicylic acid,9525,MIN
4-aminohippuric acid,7832,IN
4-aminopyridine,897018,IN
4-aminosalicylic acid,7833,IN
4-hydroxybutyric acid,1546380,PIN
4-methylpyrazole,15226,IN
4-phenylbutyrate,81647,IN
4-phenylbutyric acid,81647,PIN
4f-pcc,1670383,IN
5 azacytidine,1251,IN
5 fluorouracil,4492,IN
5 fu,4492,IN
5- fluorouracil,4492,IN
5-ala,683,IN
5-aminolevulinic acid,683,IN
5-aminolevulinic acid hydrochloride,261715,PIN
5-aminosalicylic acid,52582,IN
5-asa,52582,IN
5-azacitidine,1251,IN
5-azacytidine,1251,IN
5-fluoracil,4492,IN
5-fluorouracil,4492,IN
5-fluorouracile,4492,IN
5-fluoruracil,4492,IN
5-fu,4492,IN
5-htp,94,IN
5-hydroxytryptophan,94,IN
5-hydroxytryptophan / magnesium oxide / melatonin / tryptophan / vitamin b6,94,MIN
5-hydroxytryptophan / melatonin,94,MIN
5-hydroxytryptophan / vitamin b6,94,MIN
5-methoxypsoralen,15842,IN
5ala,683,IN
5fluorouracil,4492,IN
5fu,4492,IN
5htp,94,IN
6-aminocaproic acid,99,IN
